Column|suffix|Analysis_Column|OriginalColumn|Format|QuestionText|dtcode
q113_2_southamerica|_southamerica|q113_2404|q113_2|CURRENCY|SA: North America - Separate accounts investing directly into real estate|39_16
q113_3_southamerica|_southamerica|q113_3405|q113_3|CURRENCY|SA: North America - Separate accounts investing into indirect vehicles|39_17
q113_4_southamerica|_southamerica|q113_4406|q113_4|CURRENCY|SA: North America - Joint ventures and club deals|39_18
q113_5_southamerica|_southamerica|q113_5407|q113_5|CURRENCY|SA: North America - Funds of funds|39_19
q113_6_southamerica|_southamerica|q113_6408|q113_6|CURRENCY|SA: North America - Non-listed debt products|39_20
q11ROW3_Total_southamerica|_southamerica|q11ROW3_hidden409|q11ROW3_Total|CURRENCY|SA: North America - TOTAL|39_21
q114_1_southamerica|_southamerica|q114_1410|q114_1|CURRENCY|SA: South America - Non-listed/ commingled real estate funds/private REITs|39_22
q114_2_southamerica|_southamerica|q114_2411|q114_2|CURRENCY|SA: South America - Separate accounts investing directly into real estate|39_23
q114_3_southamerica|_southamerica|q114_3412|q114_3|CURRENCY|SA: South America - Separate accounts investing into indirect vehicles|39_24
q114_4_southamerica|_southamerica|q114_4413|q114_4|CURRENCY|SA: South America - Joint ventures and club deals|39_25
q114_5_southamerica|_southamerica|q114_5414|q114_5|CURRENCY|SA: South America - Funds of funds|39_26
q114_6_southamerica|_southamerica|q114_6415|q114_6|CURRENCY|SA: South America - Non-listed debt products|39_27
q11ROW4_Total_southamerica|_southamerica|q11ROW4_hidden416|q11ROW4_Total|CURRENCY|SA: South America - TOTAL|39_28
q115_1_southamerica|_southamerica|q115_1417|q115_1|CURRENCY|SA: Africa - Non-listed/ commingled real estate funds/private REITs|39_29
q115_2_southamerica|_southamerica|q115_2418|q115_2|CURRENCY|SA: Africa - Separate accounts investing directly into real estate|39_30
q115_3_southamerica|_southamerica|q115_3419|q115_3|CURRENCY|SA: Africa - Separate accounts investing into indirect vehicles|39_31
q115_4_southamerica|_southamerica|q115_4420|q115_4|CURRENCY|SA: Africa - Joint ventures and club deals|39_32
q115_5_southamerica|_southamerica|q115_5421|q115_5|CURRENCY|SA: Africa - Funds of funds|39_33
q115_6_southamerica|_southamerica|q115_6422|q115_6|CURRENCY|SA: Africa - Non-listed debt products|39_34
q11ROW5_Total_southamerica|_southamerica|q11ROW5_hidden423|q11ROW5_Total|CURRENCY|SA: Africa - TOTAL|39_35
q11COL1_Total_southamerica|_southamerica|q11COL1_hidden424|q11COL1_Total|CURRENCY|SA: TOTAL - Non-listed/ commingled real estate funds/private REITs|39_36
q11COL2_Total_southamerica|_southamerica|q11COL2_hidden425|q11COL2_Total|CURRENCY|SA: TOTAL - Separate accounts investing directly into real estate|39_37
q11COL3_Total_southamerica|_southamerica|q11COL3_hidden426|q11COL3_Total|CURRENCY|SA: TOTAL - Separate accounts investing into indirect vehicles|39_38
q11COL4_Total_southamerica|_southamerica|q11COL4_hidden427|q11COL4_Total|CURRENCY|SA: TOTAL - Joint ventures and club deals|39_39
q11COL5_Total_southamerica|_southamerica|q11COL5_hidden428|q11COL5_Total|CURRENCY|SA: TOTAL - Funds of funds|39_40
q11COL6_Total_southamerica|_southamerica|q11COL6_hidden429|q11COL6_Total|CURRENCY|SA: TOTAL - Non-listed debt products|39_41
q11GRANDTotal_southamerica|_southamerica|q11GRANDTotal_hidden430|q11GRANDTotal|CURRENCY|SA TOTAL Capital Raised in 2020 for your South American strategy by investor domicile|39_42
q12_southamerica|_southamerica|q122222|q12|SINGLE|For your South American strategy*, for which sector-strategy did your company raise institutional capital for non-listed vehicles in 2020?|40
_southamerica|_southamerica||||For your South American strategy*, how much institutional capital did your company raise for non-listed vehicles in 2020 by targeted multi-sector (million)?|41
q131_1_southamerica|_southamerica|q131_13333|q131_1|CURRENCY|SA: Main sectors - Non-listed/ commingled real estate funds/private REITs|41_1
q131_2_southamerica|_southamerica|q131_24444|q131_2|CURRENCY|SA: Main sectors - Separate accounts investing directly into real estate|41_2
q131_3_southamerica|_southamerica|q131_35555|q131_3|CURRENCY|SA: Main sectors - Separate accounts investing into indirect vehicles|41_3
q131_4_southamerica|_southamerica|q131_46666|q131_4|CURRENCY|SA: Main sectors - Joint ventures and club deals|41_4
q131_5_southamerica|_southamerica|q131_57777|q131_5|CURRENCY|SA: Main sectors - Funds of funds|41_5
q131_6_southamerica|_southamerica|q131_68888|q131_6|CURRENCY|SA: Main sectors - Non-listed debt products|41_6
q13ROW1_Total_southamerica|_southamerica|q13ROW1_Total9999|q13ROW1_Total|CURRENCY|SA: TOTAL - Main sectors |41_7
q132_1_southamerica|_southamerica|q132_110101010|q132_1|CURRENCY|SA:  Alternative sectors - Non-listed/ commingled real estate funds/private REITs|41_8
q132_2_southamerica|_southamerica|q132_211111111|q132_2|CURRENCY|SA:  Alternative sectors - Separate accounts investing directly into real estate|41_9
q132_3_southamerica|_southamerica|q132_312121212|q132_3|CURRENCY|SA:  Alternative sectors - Separate accounts investing into indirect vehicles|41_10
q132_4_southamerica|_southamerica|q132_413131313|q132_4|CURRENCY|SA:  Alternative sectors - Joint ventures and club deals|41_11
q132_5_southamerica|_southamerica|q132_514141414|q132_5|CURRENCY|SA:  Alternative sectors - Funds of funds|41_12
q132_6_southamerica|_southamerica|q132_615151515|q132_6|CURRENCY|SA:  Alternative sectors - Non-listed debt products|41_13
q13ROW2_Total_southamerica|_southamerica|q13ROW2_Total16161616|q13ROW2_Total|CURRENCY|SA:  TOTAL - Alternative sectors|41_14
q13COL1_Total_southamerica|_southamerica|q13COL1_Total17171717|q13COL1_Total|CURRENCY|SA: TOTAL - Non-listed/ commingled real estate funds/private REITs|41_15
q13COL2_Total_southamerica|_southamerica|q13COL2_Total18181818|q13COL2_Total|CURRENCY|SA: TOTAL - Separate accounts investing directly into real estate|41_16
q13COL3_Total_southamerica|_southamerica|q13COL3_Total19191919|q13COL3_Total|CURRENCY|SA: TOTAL - Separate accounts investing into indirect vehicles|41_17
q13COL4_Total_southamerica|_southamerica|q13COL4_Total20202020|q13COL4_Total|CURRENCY|SA: TOTAL - Joint ventures and club deals|41_18
q13COL5_Total_southamerica|_southamerica|q13COL5_Total21212121|q13COL5_Total|CURRENCY|SA: TOTAL - Funds of funds|41_19
q13COL6_Total_southamerica|_southamerica|q13COL6_Total22222222|q13COL6_Total|CURRENCY|SA: TOTAL - Non-listed debt products|41_20
q13GRANDTotal_southamerica|_southamerica|q13GRANDTotal23232323|q13GRANDTotal|CURRENCY|SA TOTAL Raised by targeted multi-sector|41_21
_southamerica|_southamerica||||For your South American strategy*, how much institutional capital did your company raise for non-listed vehicles in 2020 by targeted sector (million)?|42
q141_1_southamerica|_southamerica|q141_124242424|q141_1|CURRENCY|SA: Office - Non-listed/ commingled real estate funds/private REITs|42_1
q141_2_southamerica|_southamerica|q141_225252525|q141_2|CURRENCY|SA: Office - Separate accounts investing directly into real estate|42_2
q141_3_southamerica|_southamerica|q141_326262626|q141_3|CURRENCY|SA: Office - Separate accounts investing into indirect vehicles|42_3
q141_4_southamerica|_southamerica|q141_427272727|q141_4|CURRENCY|SA: Office - Joint ventures and club deals|42_4
q141_5_southamerica|_southamerica|q141_528282828|q141_5|CURRENCY|SA: Office - Funds of funds|42_5
q141_6_southamerica|_southamerica|q141_629292929|q141_6|CURRENCY|SA: Office - Non-listed debt products|42_6
q14ROW1_Total_southamerica|_southamerica|q14ROW1_Total30303030|q14ROW1_Total|CURRENCY|SA: TOTAL Office|42_7
q142_1_southamerica|_southamerica|q142_131313131|q142_1|CURRENCY|SA: Retail - Non-listed/ commingled real estate funds/private REITs|42_8
q142_2_southamerica|_southamerica|q142_232323232|q142_2|CURRENCY|SA: Retail - Separate accounts investing directly into real estate|42_9
q142_3_southamerica|_southamerica|q142_333333333|q142_3|CURRENCY|SA: Retail - Separate accounts investing into indirect vehicles|42_10
q142_4_southamerica|_southamerica|q142_434343434|q142_4|CURRENCY|SA: Retail - Joint ventures and club deals|42_11
q142_5_southamerica|_southamerica|q142_535353535|q142_5|CURRENCY|SA: Retail - Funds of funds|42_12
q142_6_southamerica|_southamerica|q142_636363636|q142_6|CURRENCY|Non-listed debt products|42_13
q14ROW2_Total_southamerica|_southamerica|q14ROW2_Total37373737|q14ROW2_Total|CURRENCY|SA: TOTAL Retail|42_14
q143_1_southamerica|_southamerica|q143_138383838|q143_1|CURRENCY|SA: Industrial / logistics - Non-listed/ commingled real estate funds/private REITs|42_15
q143_2_southamerica|_southamerica|q143_239393939|q143_2|CURRENCY|SA: Industrial / logistics - Separate accounts investing directly into real estate|42_16
q143_3_southamerica|_southamerica|q143_340404040|q143_3|CURRENCY|SA: Industrial / logistics - Separate accounts investing into indirect vehicles|42_17
q143_4_southamerica|_southamerica|q143_441414141|q143_4|CURRENCY|SA: Industrial / logistics - Joint ventures and club deals|42_18
q143_5_southamerica|_southamerica|q143_542424242|q143_5|CURRENCY|SA: Industrial / logistics - Funds of funds|42_19
q143_6_southamerica|_southamerica|q143_643434343|q143_6|CURRENCY|SA: Industrial / logistics - Non-listed debt products|42_20
q14ROW3_Total_southamerica|_southamerica|q14ROW3_Total44444444|q14ROW3_Total|CURRENCY|SA: TOTAL Industrial / logistics|42_21
q144_1_southamerica|_southamerica|q144_145454545|q144_1|CURRENCY|SA: Residential / multi-family/apartments - Non-listed/ commingled real estate funds/private REITs|42_22
q144_2_southamerica|_southamerica|q144_246464646|q144_2|CURRENCY|SA: Residential / multi-family/apartments - Separate accounts investing directly into real estate|42_23
q144_3_southamerica|_southamerica|q144_347474747|q144_3|CURRENCY|SA: Residential / multi-family/apartments - Separate accounts investing into indirect vehicles|42_24
q144_4_southamerica|_southamerica|q144_448484848|q144_4|CURRENCY|SA: Residential / multi-family/apartments - Joint ventures and club deals|42_25
q144_5_southamerica|_southamerica|q144_549494949|q144_5|CURRENCY|SA: Residential / multi-family/apartments - Funds of funds|42_26
q144_6_southamerica|_southamerica|q144_650505050|q144_6|CURRENCY|SA: Residential / multi-family/apartments - Non-listed debt products|42_27
q14ROW4_Total_southamerica|_southamerica|q14ROW4_Total51515151|q14ROW4_Total|CURRENCY|SA: TOTAL Residential / multi-family/apartments|42_28
q145_1_southamerica|_southamerica|q145_152525252|q145_1|CURRENCY|SA: Student housing - Non-listed/ commingled real estate funds/private REITs|42_29
q145_2_southamerica|_southamerica|q145_253535353|q145_2|CURRENCY|SA: Student housing - Separate accounts investing directly into real estate|42_30
q145_3_southamerica|_southamerica|q145_354545454|q145_3|CURRENCY|SA: Student housing - Separate accounts investing into indirect vehicles|42_31
q145_4_southamerica|_southamerica|q145_455555555|q145_4|CURRENCY|SA: Student housing - Joint ventures and club deals|42_32
q145_5_southamerica|_southamerica|q145_556565656|q145_5|CURRENCY|SA: Student housing - Funds of funds|42_33
q145_6_southamerica|_southamerica|q145_657575757|q145_6|CURRENCY|SA: Student housing - Non-listed debt products|42_34
q14ROW5_Total_southamerica|_southamerica|q14ROW5_Total58585858|q14ROW5_Total|CURRENCY|SA: TOTAL Student housing |42_35
q146_1_southamerica|_southamerica|q146_159595959|q146_1|CURRENCY|SA: Senior living / aged care / health care - Non-listed/ commingled real estate funds/private REITs|42_36
q146_2_southamerica|_southamerica|q146_260606060|q146_2|CURRENCY|SA: Senior living / aged care / health care - Separate accounts investing directly into real estate|42_37
q146_3_southamerica|_southamerica|q146_361616161|q146_3|CURRENCY|SA: Senior living / aged care / health care - Separate accounts investing into indirect vehicles|42_38
q146_4_southamerica|_southamerica|q146_462626262|q146_4|CURRENCY|SA: Senior living / aged care / health care - Joint ventures and club deals|42_39
q146_5_southamerica|_southamerica|q146_563636363|q146_5|CURRENCY|SA: Senior living / aged care / health care - Funds of funds|42_40
q146_6_southamerica|_southamerica|q146_664646464|q146_6|CURRENCY|SA: Senior living / aged care / health care - Non-listed debt products|42_41
q14ROW6_Total_southamerica|_southamerica|q14ROW6_Total65656565|q14ROW6_Total|CURRENCY|SA: TOTAL Senior living / aged care / health care|42_42
q147_1_southamerica|_southamerica|q147_166666666|q147_1|CURRENCY|SA: Hotel / leisure - Non-listed/ commingled real estate funds/private REITs|42_43
q147_2_southamerica|_southamerica|q147_267676767|q147_2|CURRENCY|SA: Hotel / leisure - Separate accounts investing directly into real estate|42_44
q147_3_southamerica|_southamerica|q147_368686868|q147_3|CURRENCY|SA: Hotel / leisure - Separate accounts investing into indirect vehicles|42_45
q147_4_southamerica|_southamerica|q147_469696969|q147_4|CURRENCY|SA: Hotel / leisure - Joint ventures and club deals|42_46
q147_5_southamerica|_southamerica|q147_570707070|q147_5|CURRENCY|SA: Hotel / leisure - Funds of funds|42_47
q147_6_southamerica|_southamerica|q147_671717171|q147_6|CURRENCY|SA: Hotel / leisure - Non-listed debt products|42_48
q14ROW7_Total_southamerica|_southamerica|q14ROW7_Total72727272|q14ROW7_Total|CURRENCY|SA: TOTAL Hotel / leisure|42_49
q148_1_southamerica|_southamerica|q148_173737373|q148_1|CURRENCY|SA: Other (incl land, parking, self storage) - Non-listed/ commingled real estate funds/private REITs|42_50
q148_2_southamerica|_southamerica|q148_274747474|q148_2|CURRENCY|SA: Other (incl land, parking, self storage) - Separate accounts investing directly into real estate|42_51
q148_3_southamerica|_southamerica|q148_375757575|q148_3|CURRENCY|SA: Other (incl land, parking, self storage) - Separate accounts investing into indirect vehicles|42_52
q148_4_southamerica|_southamerica|q148_476767676|q148_4|CURRENCY|SA: Other (incl land, parking, self storage) - Joint ventures and club deals|42_53
q148_5_southamerica|_southamerica|q148_577777777|q148_5|CURRENCY|SA: Other (incl land, parking, self storage) - Funds of funds|42_54
q148_6_southamerica|_southamerica|q148_678787878|q148_6|CURRENCY|SA: Other (incl land, parking, self storage) - Non-listed debt products|42_55
q14ROW8_Total_southamerica|_southamerica|q14ROW8_Total79797979|q14ROW8_Total|CURRENCY|SA: TOTAL Other (incl land, parking, self storage)|42_56
q14COL1_Total_southamerica|_southamerica|q14COL1_Total80808080|q14COL1_Total|CURRENCY|SA: TOTAL Non-listed/ commingled real estate funds/private REITs|42_57
q14COL2_Total_southamerica|_southamerica|q14COL2_Total81818181|q14COL2_Total|CURRENCY|SA: TOTAL Separate accounts investing directly into real estate|42_58
q14COL3_Total_southamerica|_southamerica|q14COL3_Total82828282|q14COL3_Total|CURRENCY|SA: TOTAL Separate accounts investing into indirect vehicles|42_59
q14COL4_Total_southamerica|_southamerica|q14COL4_Total83838383|q14COL4_Total|CURRENCY|SA: TOTAL Joint ventures and club deals|42_60
q14COL5_Total_southamerica|_southamerica|q14COL5_Total84848484|q14COL5_Total|CURRENCY|SA: TOTAL Funds of funds|42_61
q14COL6_Total_southamerica|_southamerica|q14COL6_Total85858585|q14COL6_Total|CURRENCY|SA: TOTAL Non-listed debt products|42_62
q14GRANDTotal_southamerica|_southamerica|q14GRANDTotal86868686|q14GRANDTotal|CURRENCY|SA: TOTAL Raised by targeted sector|42_63
qBothStrategyGRANDTotal_southamerica|_southamerica|qBothStrategyGRANDTotal87878787|qBothStrategyGRANDTotal|CURRENCY|Total Capital Raised in 2020 for your South American strategy (Shown only when BOTH strategies selected in q12)|42_64
_southamerica|_southamerica||||For your South American strategy*, how much institutional capital did your company raise for non-listed vehicles in 2020 by investment style (million)? |43
q151_1_southamerica|_southamerica|q151_188888888|q151_1|CURRENCY|SA: Core / Senior debt - Non-listed/ commingled real estate funds/private REITs|43_1
q151_2_southamerica|_southamerica|q151_289898989|q151_2|CURRENCY|SA: Core / Senior debt - Separate accounts investing directly into real estate|43_2
q151_3_southamerica|_southamerica|q151_390909090|q151_3|CURRENCY|SA: Core / Senior debt - Separate accounts investing into indirect vehicles|43_3
q151_4_southamerica|_southamerica|q151_491919191|q151_4|CURRENCY|SA: Core / Senior debt - Joint ventures and club deals|43_4
q151_5_southamerica|_southamerica|q151_592929292|q151_5|CURRENCY|SA: Core / Senior debt - Funds of funds|43_5
q151_6_southamerica|_southamerica|q151_693939393|q151_6|CURRENCY|SA: Core / Senior debt - Non-listed debt products|43_6
q15ROW1_Total_southamerica|_southamerica|q15ROW1_Total94949494|q15ROW1_Total|CURRENCY|SA: TOTAL Core / Senior debt|43_7
q152_1_southamerica|_southamerica|q152_195959595|q152_1|CURRENCY|SA: Value added / Junior and other subordinated debt - Non-listed/ commingled real estate funds/private REITs|43_8
q152_2_southamerica|_southamerica|q152_296969696|q152_2|CURRENCY|SA: Value added / Junior and other subordinated debt - Separate accounts investing directly into real estate|43_9
q152_3_southamerica|_southamerica|q152_397979797|q152_3|CURRENCY|SA: Value added / Junior and other subordinated debt - Separate accounts investing into indirect vehicles|43_10
q152_4_southamerica|_southamerica|q152_498989898|q152_4|CURRENCY|SA: Value added / Junior and other subordinated debt - Joint ventures and club deals|43_11
q152_5_southamerica|_southamerica|q152_599999999|q152_5|CURRENCY|SA: Value added / Junior and other subordinated debt - Funds of funds|43_12
q152_6_southamerica|_southamerica|q152_6100100100100|q152_6|CURRENCY|SA: Value added / Junior and other subordinated debt - Non-listed debt products|43_13
q15ROW2_Total_southamerica|_southamerica|q15ROW2_Total101101101101|q15ROW2_Total|CURRENCY|SA: TOTAL Value added / Junior and other subordinated debt|43_14
q153_1_southamerica|_southamerica|q153_1102102102102|q153_1|CURRENCY|SA: Opportunistic / Mezzanine debt - Non-listed/ commingled real estate funds/private REITs|43_15
q153_2_southamerica|_southamerica|q153_2103103103103|q153_2|CURRENCY|SA: Opportunistic / Mezzanine debt - Separate accounts investing directly into real estate|43_16
q153_3_southamerica|_southamerica|q153_3104104104104|q153_3|CURRENCY|SA: Opportunistic / Mezzanine debt - Separate accounts investing into indirect vehicles|43_17
q153_4_southamerica|_southamerica|q153_4105105105105|q153_4|CURRENCY|SA: Opportunistic / Mezzanine debt - Joint ventures and club deals|43_18
q153_5_southamerica|_southamerica|q153_5106106106106|q153_5|CURRENCY|SA: Opportunistic / Mezzanine debt - Funds of funds|43_19
q153_6_southamerica|_southamerica|q153_6107107107107|q153_6|CURRENCY|SA: Opportunistic / Mezzanine debt - Non-listed debt products|43_20
q15ROW3_Total_southamerica|_southamerica|q15ROW3_Total108108108108|q15ROW3_Total|CURRENCY|SA: TOTAL Opportunistic / Mezzanine debt|43_21
q154_1_southamerica|_southamerica|q154_1109109109109|q154_1|CURRENCY|SA: Mixed strategies - Non-listed/ commingled real estate funds/private REITs|43_22
q154_2_southamerica|_southamerica|q154_2110110110110|q154_2|CURRENCY|SA: Mixed strategies - Separate accounts investing directly into real estate|43_23
q154_3_southamerica|_southamerica|q154_3111111111111|q154_3|CURRENCY|SA: Mixed strategies - Separate accounts investing into indirect vehicles|43_24
q154_4_southamerica|_southamerica|q154_4112112112112|q154_4|CURRENCY|SA: Mixed strategies - Joint ventures and club deals|43_25
q154_5_southamerica|_southamerica|q154_5113113113113|q154_5|CURRENCY|SA: Mixed strategies - Funds of funds|43_26
q154_6_southamerica|_southamerica|q154_6114114114114|q154_6|CURRENCY|SA: Mixed strategies - Non-listed debt products|43_27
q15ROW4_Total_southamerica|_southamerica|q15ROW4_Total115115115115|q15ROW4_Total|CURRENCY|SA: TOTAL Mixed strategies|43_28
q15COL1_Total_southamerica|_southamerica|q15COL1_Total116116116116|q15COL1_Total|CURRENCY|SA: TOTAL Non-listed/ commingled real estate funds/private REITs|43_29
q15COL2_Total_southamerica|_southamerica|q15COL2_Total117117117117|q15COL2_Total|CURRENCY|SA: TOTAL Separate accounts investing directly into real estate|43_30
q15COL3_Total_southamerica|_southamerica|q15COL3_Total118118118118|q15COL3_Total|CURRENCY|SA: TOTAL Separate accounts investing into indirect vehicles|43_31
q15COL4_Total_southamerica|_southamerica|q15COL4_Total119119119119|q15COL4_Total|CURRENCY|SA: TOTAL Joint ventures and club deals|43_32
q15COL5_Total_southamerica|_southamerica|q15COL5_Total120120120120|q15COL5_Total|CURRENCY|SA: TOTAL Funds of funds|43_33
q15COL6_Total_southamerica|_southamerica|q15COL6_Total121121121121|q15COL6_Total|CURRENCY|SA: TOTAL Non-listed debt products|43_34
q15GRANDTotal_southamerica|_southamerica|q15GRANDTotal122122122122|q15GRANDTotal|CURRENCY|SA: Total Capital Raised in 2020 for your South American strategy|43_35
AFRICA_africa|_africa|AFRICA|AFRICA|||
_africa|_africa||||For your African strategy*, how much institutional capital did your company raise for non-listed vehicles in 2020 by investor type (million)?|44
q101_1_africa|_africa|q101_1431|q101_1|CURRENCY|AFRICAN: Pension funds - Non-listed/ commingled real estate funds/private REITs|44_1
q101_2_africa|_africa|q101_2432|q101_2|CURRENCY|AFRICAN: Pension funds - Separate accounts investing directly into real estate|44_2
q101_3_africa|_africa|q101_3433|q101_3|CURRENCY|AFRICAN: Pension funds - Separate accounts investing into indirect vehicles|44_3
q101_4_africa|_africa|q101_4434|q101_4|CURRENCY|AFRICAN: Pension funds - Joint ventures and club deals|44_4
q101_5_africa|_africa|q101_5435|q101_5|CURRENCY|AFRICAN: Pension funds - Funds of funds|44_5
q101_6_africa|_africa|q101_6436|q101_6|CURRENCY|AFRICAN: Pension funds - Non-listed debt products|44_6
q10ROW1_Total_africa|_africa|q10ROW1_hidden437|q10ROW1_Total|CURRENCY|AFRICAN: Pension funds - TOTAL|44_7
q102_1_africa|_africa|q102_1438|q102_1|CURRENCY|AFRICAN: Insurance companies - Non-listed/ commingled real estate funds/private REITs|44_8
q102_2_africa|_africa|q102_2439|q102_2|CURRENCY|AFRICAN: Insurance companies - Separate accounts investing directly into real estate|44_9
q102_3_africa|_africa|q102_3440|q102_3|CURRENCY|AFRICAN: Insurance companies - Separate accounts investing into indirect vehicles|44_10
q102_4_africa|_africa|q102_4441|q102_4|CURRENCY|AFRICAN: Insurance companies - Joint ventures and club deals|44_11
q102_5_africa|_africa|q102_5442|q102_5|CURRENCY|AFRICAN: Insurance companies - Funds of funds|44_12
q102_6_africa|_africa|q102_6443|q102_6|CURRENCY|AFRICAN: Insurance companies - Non-listed debt products|44_13
q10ROW2_Total_africa|_africa|q10ROW2_hidden444|q10ROW2_Total|CURRENCY|AFRICAN: Insurance companies - TOTAL|44_14
q103_1_africa|_africa|q103_1445|q103_1|CURRENCY|AFRICAN: Sovereign wealth funds - Non-listed/ commingled real estate funds/private REITs|44_15
q103_2_africa|_africa|q103_2446|q103_2|CURRENCY|AFRICAN: Sovereign wealth funds - Separate accounts investing directly into real estate|44_16
q103_3_africa|_africa|q103_3447|q103_3|CURRENCY|AFRICAN: Sovereign wealth funds - Separate accounts investing into indirect vehicles|44_17
q103_4_africa|_africa|q103_4448|q103_4|CURRENCY|AFRICAN: Sovereign wealth funds - Joint ventures and club deals|44_18
q103_5_africa|_africa|q103_5449|q103_5|CURRENCY|AFRICAN: Sovereign wealth funds - Funds of funds|44_19
q103_6_africa|_africa|q103_6450|q103_6|CURRENCY|AFRICAN: Sovereign wealth funds - Non-listed debt products|44_20
q10ROW3_Total_africa|_africa|q10ROW3_hidden451|q10ROW3_Total|CURRENCY|AFRICAN: Sovereign wealth funds - TOTAL|44_21
q104_1_africa|_africa|q104_1452|q104_1|CURRENCY|AFRICAN: Government institutions - Non-listed/ commingled real estate funds/private REITs|44_22
q104_2_africa|_africa|q104_2453|q104_2|CURRENCY|AFRICAN: Government institutions - Separate accounts investing directly into real estate|44_23
q104_3_africa|_africa|q104_3454|q104_3|CURRENCY|AFRICAN: Government institutions - Separate accounts investing into indirect vehicles|44_24
q104_4_africa|_africa|q104_4455|q104_4|CURRENCY|AFRICAN: Government institutions - Joint ventures and club deals|44_25
q104_5_africa|_africa|q104_5456|q104_5|CURRENCY|AFRICAN: Government institutions - Funds of funds|44_26
q104_6_africa|_africa|q104_6457|q104_6|CURRENCY|AFRICAN: Government institutions - Non-listed debt products|44_27
q10ROW4_Total_africa|_africa|q10ROW4_hidden458|q10ROW4_Total|CURRENCY|AFRICAN: Government institutions - TOTAL|44_28
q105_1_africa|_africa|q105_1459|q105_1|CURRENCY|AFRICAN: Charities, foundations, non-profit organisations - Non-listed/ commingled real estate funds/private REITs|44_29
q105_2_africa|_africa|q105_2460|q105_2|CURRENCY|AFRICAN: Charities, foundations, non-profit organisations - Separate accounts investing directly into real estate|44_30
q105_3_africa|_africa|q105_3461|q105_3|CURRENCY|AFRICAN: Charities, foundations, non-profit organisations - Separate accounts investing into indirect vehicles|44_31
q105_4_africa|_africa|q105_4462|q105_4|CURRENCY|AFRICAN: Charities, foundations, non-profit organisations - Joint ventures and club deals|44_32
q105_5_africa|_africa|q105_5463|q105_5|CURRENCY|AFRICAN: Charities, foundations, non-profit organisations - Funds of funds|44_33
q105_6_africa|_africa|q105_6464|q105_6|CURRENCY|AFRICAN: Charities, foundations, non-profit organisations - Non-listed debt products|44_34
q10ROW5_Total_africa|_africa|q10ROW5_hidden465|q10ROW5_Total|CURRENCY|AFRICAN: Charities, foundations, non-profit organisations - TOTAL|44_35
q106_1_africa|_africa|q106_1466|q106_1|CURRENCY|AFRICAN: Funds of funds - Non-listed/ commingled real estate funds/private REITs|44_36
q106_2_africa|_africa|q106_2467|q106_2|CURRENCY|AFRICAN: Funds of funds - Separate accounts investing directly into real estate|44_37
q106_3_africa|_africa|q106_3468|q106_3|CURRENCY|AFRICAN: Funds of funds - Separate accounts investing into indirect vehicles|44_38
q106_4_africa|_africa|q106_4469|q106_4|CURRENCY|AFRICAN: Funds of funds - Joint ventures and club deals|44_39
q106_5_africa|_africa|q106_5470|q106_5|CURRENCY|AFRICAN: Funds of funds - Funds of funds|44_40
q106_6_africa|_africa|q106_6471|q106_6|CURRENCY|AFRICAN: Funds of funds - Non-listed debt products|44_41
q10ROW6_Total_africa|_africa|q10ROW6_hidden472|q10ROW6_Total|CURRENCY|AFRICAN: Funds of funds - TOTAL|44_42
q107_1_africa|_africa|q107_1473|q107_1|CURRENCY|AFRICAN: High net worth individuals /Family offices - Non-listed/ commingled real estate funds/private REITs|44_43
q107_2_africa|_africa|q107_2474|q107_2|CURRENCY|AFRICAN: High net worth individuals /Family offices - Separate accounts investing directly into real estate|44_44
q107_3_africa|_africa|q107_3475|q107_3|CURRENCY|AFRICAN: High net worth individuals /Family offices - Separate accounts investing into indirect vehicles|44_45
q107_4_africa|_africa|q107_4476|q107_4|CURRENCY|AFRICAN: High net worth individuals /Family offices - Joint ventures and club deals|44_46
q107_5_africa|_africa|q107_5477|q107_5|CURRENCY|AFRICAN: High net worth individuals /Family offices - Funds of funds|44_47
q107_6_africa|_africa|q107_6478|q107_6|CURRENCY|AFRICAN: High net worth individuals /Family offices - Non-listed debt products|44_48
q10ROW7_Total_africa|_africa|q10ROW7_hidden479|q10ROW7_Total|CURRENCY|AFRICAN: High net worth individuals /Family offices - TOTAL|44_49
q10other_africa|_africa|q10other480|q10other|TEXT|AFRICAN: Other investor type (Other)|44_50
q108_1_africa|_africa|q108_1481|q108_1|CURRENCY|AFRICAN: Other - Non-listed/ commingled real estate funds/private REITs|44_51
q108_2_africa|_africa|q108_2482|q108_2|CURRENCY|AFRICAN: Other - Separate accounts investing directly into real estate|44_52
q108_3_africa|_africa|q108_3483|q108_3|CURRENCY|AFRICAN: Other - Separate accounts investing into indirect vehicles|44_53
q108_4_africa|_africa|q108_4484|q108_4|CURRENCY|AFRICAN: Other - Joint ventures and club deals|44_54
q108_5_africa|_africa|q108_5485|q108_5|CURRENCY|AFRICAN: Other - Funds of funds|44_55
q108_6_africa|_africa|q108_6486|q108_6|CURRENCY|AFRICAN: Other - Non-listed debt products|44_56
q10ROW8_Total_africa|_africa|q10ROW8_hidden487|q10ROW8_Total|CURRENCY|AFRICAN: Other - TOTAL|44_57
q10COL1_Total_africa|_africa|q10COL1_hidden488|q10COL1_Total|CURRENCY|AFRICAN TOTAL - Non-listed/ commingled real estate funds/private REITs|44_58
